source,topic_label,text_content,date_published,reference_url
X,FX Rate,"Since fuel prices are up, and export is doing well, why is the external reserve?",Apr 18,https://x.com/_MicTwits/status/2045447972331081882?s=20
X,FX Rate,"Short-term strength, long-term pressure.

If reserves are falling while the naira gains, it usually means support is being used - hard to sustain without stronger inflows.",Apr 18,https://x.com/ThriveTrack/status/2045432933201117232?s=20
X,FX Rate,"This is less about one platform and more about control.
When authorities frame it as “unauthorized operations,”   it signals a push to bring crypto activity fully within regulated channels—or push it out.",,https://x.com/ThriveTrack/status/2045466006277984628?s=20
X,FX Rate,"yeah when exchange gaps widen like that it just shows how messy liquidity and pricing can get, exactly the kind of thing arbitrage systems watch",Apr 15,https://x.com/allenjest79/status/2044378896494367102?s=20
X,FX Rate,"A widening gap between official and parallel markets is less about sentiment and more about structural FX pressure. Until liquidity deepens, speculation will keep filling the vacuum.",Apr 15,https://x.com/StephenE62968/status/2044426076210729454?s=20
X,FX Rate,"This is according to insights from forex traders and Bureau De Change (BDC) operators who spoke to Nairametrics.

They said the over-appreciation of the naira at the official market without corresponding fundamentals has encouraged the proliferation of ungoverned forex channels that are used as a conduit for the diversion of liquidity into the economy.",Apr 15,https://x.com/Nairametrics/status/2044367426146402317?s=20
X,FX Rate,"This is a step in the right direction. The NOFR will be the market reference rate for the Nigeria market like SOFR, Fed Funds Rate, etc. The question is how does this align with MPR, Tbills rate, OMO, 10year Govt bond yields?",Apr 17,https://x.com/d___eagle/status/2045229208893297075?s=20
X,FX Rate,This is really good...banks can actually use MPR instead of arbitrary rates,Apr 18,https://x.com/lekanomotayo/status/2045324295824404568?s=20
X,FX Rate,"Economic statistics are comparing subsidized exchange rates, that was used to destroyed our local industries and rendered our youths jobless.",Feb 27,https://x.com/tajudine2013gm2/status/2027485595375730990?s=20
X,FX Rate,APC government is the worst thing that has ever happened to Nigeria and Nigerians....,Feb 28,https://x.com/Abidav007/status/2027831405783249382?s=20
X,FX Rate,Depreciation is negative and naira would have lost 86% of its value against the dollar.,Feb 27,https://x.com/isaacwalex/status/2027512884754817288?s=20
X,FX Rate,Attributing things like high exchange rate and current high fuel price caused by Trump war with Iran) skewed the information above. I am not for or against Edun.,Apr 22,https://x.com/farochii/status/2046957776270762413?s=20
X,FX Rate,He is not responsible for some of these e.g exchange rate and external reserve are managed by the CBN headed by Cardoso.,4/22/2026,https://x.com/folusamy/status/2046958228349620730?s=20
X,FX Rate,Inflation wasn't part of his remit. Inflation management falls within the purview of the CBN Governor,4/22/2026,https://x.com/Big_Bro_E/status/2046974562907132302?s=20
X,FX Rate,"Your statistics are wrong. 
Everything should be red. Think red tbh",4/22/2026,https://x.com/JonnieIledun/status/2046957528043409745?s=20
X,Food Inflation,Nobody wants to eat rice that they'll pick before they cook and nobody wants to eat rice that will cause kidney stones,Apr 19,https://x.com/macdjeffrey/status/2045890684335349887?s=20
X,Food Inflation,"This reflects growing concern within Nigeria’s agricultural sector, as rice farmers report pressure from increased imports affecting local production and market competitiveness.

The situation underscores ongoing debates around food security policy, import regulation, and the need for stronger support for domestic farmers to sustain local rice production and reduce dependency on external supply.",Apr 19,https://x.com/Alo360Tv/status/2045863538254614555?s=20
X,Food Inflation,"Wow, A whole 15.06% ? This is good news.
Tinubu is working.
Emergency lovers of Nigeria won't post this one
Bad news Marchants",Mar 16,https://x.com/PEnyidiah/status/2033584814557679877?s=20
X,Food Inflation,Una must chop this fake statistics from LAPITE by force lol,Mar 16,https://x.com/NwankwoRic28234/status/2033581253589356702?s=20
X,Food Inflation,Una and fake statistics eeh..if it's not reflecting in the life of the masses then it's a lie.,Mar 16,https://x.com/smartpraize/status/2033584011029741744?s=20
X,Food Inflation,inflation rate drop but the price of goods is not dropping this politicians are just whining us,Mar 16,https://x.com/JerryBr72287575/status/2033599682119663854?s=20
